feature,importance
evictions_t-1_scaled,0.35609121274922595
evictions_t-2_scaled,0.28010110761345436
evictions_change_1,0.16228365257804392
evictions_change_2,0.12534971254018398
evictions_change_5,0.017954551879057395
evictions_t-5_scaled,0.015548164843910098
median_gross_rent_scaled,0.00291807411425068
renter_occupied_household_size_scaled,0.0027982072684231553
evictions_change_1_binary,0.0025987055949245343
num_af_am_alone_scaled,0.002445462867983527
for_rent_units_percent,0.0019029571833011846
num_unemployed_scaled,0.001833527197465558
median_household_income_scaled,0.0017756929432826021
num_unemployed_percent,0.0016505422862333307
num_with_ged_scaled,0.0015271560774279276
num_hisp_percent,0.0014804841015702776
num_with_high_school_degree_scaled,0.0014549634470077762
num_white_alone_scaled,0.0014203831902721425
for_rent_units_scaled,0.00136452277009832
vacant_units_percent,0.0013389344589272382
num_af_am_alone_percent,0.0013285715755588002
units_scaled,0.0012113630869074745
crime_count_percent,0.0011264591083166024
total_renter_households_scaled,0.0010974802026836286
vacant_units_scaled,0.0009728770743069735
num_with_high_school_degree_percent,0.0009697537793668416
total_renter_households_percent,0.0008943804883055913
crime_count_scaled,0.0008785303196384304
evictions_change_5_binary,0.0007938170693197783
occupied_units_scaled,0.000728890391841794
black_alone_owner_occupied_percent,0.0007160044532769808
evictions_change_2_binary,0.0006672510088287456
black_alone_owner_occupied_scaled,0.0006671852940219644
num_hisp_scaled,0.0006142854159455713
total_households_scaled,0.0005130431853999314
total_population_scaled,0.00048734814494478526
num_with_ged_percent,0.00041900015297362963
num_white_alone_percent,0.00031708540496020387
total_renter_households_impute_flag,0.00023438605796773893
median_gross_rent_impute_flag,0.0002319281970662306
total_renter_households_percent_impute_flag,0.0001538259123574146
violations_count_scaled,9.79150522262183e-05
num_unemployed_impute_flag,8.802889845055932e-05
num_with_ged_impute_flag,8.221009877729402e-05
violations_count_percent,7.932923951090266e-05
violations_count_percent_impute_flag,7.830736628730831e-05
vacant_units_percent_binary,7.518372796866529e-05
num_hisp_percent_impute_flag,7.238819849981226e-05
num_af_am_alone_percent_impute_flag,7.056166530250875e-05
num_with_high_school_degree_percent_impute_flag,5.538143611830897e-05
total_renter_households_percent_binary,4.710563640679755e-05
total_population_impute_flag,4.1693941126713516e-05
black_alone_owner_occupied_percent_impute_flag,4.11090531079424e-05
vacant_units_impute_flag,3.361404414351061e-05
renter_occupied_household_size_impute_flag,3.200865698198214e-05
total_households_impute_flag,3.165123737371707e-05
num_hisp_impute_flag,2.7413308672822623e-05
num_white_alone_impute_flag,2.2894778997159298e-05
crime_count_percent_impute_flag,2.1273941352702238e-05
crime_count_percent_binary,1.714286648785478e-05
for_rent_units_impute_flag,1.634150554888095e-05
num_af_am_alone_impute_flag,1.6112810002442924e-05
num_with_high_school_degree_impute_flag,1.4954667776162528e-05
num_unemployed_percent_impute_flag,1.3168063748951816e-05
units_impute_flag,1.2265868805008607e-05
num_with_ged_percent_impute_flag,1.1355036363534382e-05
majority_white,1.0924361039740267e-05
num_unemployed_percent_binary,9.715100008978857e-06
majority_af_am,8.17502174169803e-06
occupied_units_impute_flag,2.5209128096137656e-06
for_rent_units_percent_impute_flag,2.3799933336812757e-06
black_alone_owner_occupied_impute_flag,1.9413744105373173e-06
median_household_income_impute_flag,1.1173823303127404e-06
vacant_units_percent_impute_flag,1.0630344124200004e-06
majority_hisp,7.611503611374694e-07
num_white_alone_percent_impute_flag,5.085404809250158e-07
violations_count_percent_binary,0.0
low-flag,0.0
evictions_change_5_binary_impute_flag,0.0
evictions_change_2_binary_impute_flag,0.0
evictions_change_1_binary_impute_flag,0.0
majority_white_impute_flag,0.0
majority_hisp_impute_flag,0.0
majority_af_am_impute_flag,0.0
evictions_change_5_impute_flag,0.0
imputed,0.0
evictions_change_1_impute_flag,0.0
violations_count_impute_flag,0.0
crime_count_impute_flag,0.0
evictions_t-5_impute_flag,0.0
evictions_t-2_impute_flag,0.0
evictions_t-1_impute_flag,0.0
subbed,0.0
evictions_change_2_impute_flag,0.0
